Name,Collection Score,Level,Arena Rank,Donations,Last Login
Hamilkar,108310,65,3055,662,2020-10-17
vittorio972,107788,66,3004,185,2020-10-17
Ebanreb,107678,64,3033,70,2020-10-17
lola,107323,62,3005,159,2020-10-17
LUISBTABTZ,107290,62,2991,119,2020-10-17
superpapin,105391,62,3042,488,2020-10-17
GhosTrident,105221,65,4010,356,2020-10-17
sandradisney,102401,58,1504,110,2020-10-17
MaxiBella,102049,65,2999,110,2020-10-17
Rojero,101348,59,2018,214,2020-10-17
SurferPaul,99484,60,2495,392,2020-10-17
Saisem,99098,65,3998,844,2020-10-17
ZaguracK,96487,63,1500,32,2020-10-17
Brajamaro,91026,61,1243,494,2020-10-17
Llebea,89512,63,1530,101,2020-10-17
DisneySpain20,88976,60,1189,445,2020-10-17
Robertiox,85221,58,1513,523,2020-10-17
sHiraN,83072,57,2495,549,2020-10-17
Greekgeek,155111,67,4059,337,2020-10-17
GustavoCG,93342,63,4078,80,2020-10-17
MALSEN,110119,62,2672,422,2020-10-17
Ikaedih,329661,68,3476,592,2020-10-24
Ronik,192037,65,3299,673,2020-10-24
r0ny,173771,67,3431,762,2020-10-24
Loitzune,169698,69,5300,875,2020-10-24
Txutxy,154290,67,4125,758,2020-10-24
Hiros,149200,67,4288,783,2020-10-24
☆Gasphernus☆,147215,66,4064,640,2020-10-24
Bruxen,140672,66,4153,735,2020-10-24
MonitoStrike,139578,66,3332,262,2020-10-24
Fredo,138900,65,3996,678,2020-10-24
alex87,138651,66,3057,587,2020-10-24
Berjilius,138289,66,3304,740,2020-10-24
Huco,133144,66,3414,733,2020-10-24
Aromaz,129262,64,2066,145,2020-10-24
Amérendar,127891,66,4004,474,2020-10-24
Martibrum,127046,65,3245,718,2020-10-24
Palito.inc,126640,65,2568,456,2020-10-24
Surfer,125371,61,4006,207,2020-10-24
Tutti,124857,66,3350,738,2020-10-24
vanenav86,123938,66,2830,820,2020-10-24
Piscu,122970,59,2103,130,2020-10-24
Alvaro,122567,63,3223,670,2020-10-24
Pandita,122358,63,3048,478,2020-10-24
DesmondMiles,122117,66,3337,473,2020-10-24
xJeLLy,120255,66,3407,741,2020-10-24
LittleSabia,119650,65,3232,519,2020-10-24
ismaellc,117811,66,5011,707,2020-10-24
Ebanreb,116207,65,3500,105,2020-10-24
Pahoehoe,115296,65,3116,588,2020-10-24
vittorio972,114920,67,3508,220,2020-10-24
Hamilkar,113129,66,3232,701,2020-10-24
lola,111876,62,3008,194,2020-10-24
plate87,111195,65,2526,652,2020-10-24
LUISBTABTZ,110690,62,2988,154,2020-10-24
superpapin,109644,62,3022,518,2020-10-24
GhosTrident,109334,66,4018,391,2020-10-24
SurferPaul,108707,61,2564,428,2020-10-24
MaxiBella,108703,66,3203,145,2020-10-24
Rojero,106156,60,2216,226,2020-10-24
sandradisney,103956,59,1628,139,2020-10-24
Saisem,101113,66,3986,879,2020-10-24
ZaguracK,98655,64,1393,67,2020-10-24
Brajamaro,95721,61,1592,524,2020-10-24
DisneySpain20,95575,61,1010,480,2020-10-24
Llebea,93226,63,1712,136,2020-10-24
Robertiox,90654,59,1644,557,2020-10-24
sHiraN,88181,57,2618,579,2020-10-24
Greekgeek,156453,67,4097,367,2020-10-24
GustavoCG,96440,64,4244,115,2020-10-24
MALSEN,112880,63,2812,457,2020-10-24
Ikaedih,336446,69,3835,626,2020-10-31
Ronik,196841,65,3639,708,2020-10-31
r0ny,181275,67,3773,792,2020-10-31
Loitzune,173661,69,5573,910,2020-10-31
Txutxy,160303,68,4237,793,2020-10-31
Hiros,153255,67,4536,818,2020-10-31
☆Gasphernus☆,152165,67,4138,655,2020-10-31
alex87,145958,67,3841,622,2020-10-31
Fredo,144586,65,4038,713,2020-10-31
Bruxen,144544,66,4251,770,2020-10-31
MonitoStrike,144288,66,3600,297,2020-10-31
Berjilius,140198,66,3623,775,2020-10-31
Huco,136468,67,3866,768,2020-10-31
Martibrum,132777,65,3494,753,2020-10-31
Amérendar,131313,67,4018,509,2020-10-31
Aromaz,130876,64,2058,172,2020-10-31
Tutti,130497,66,3734,773,2020-10-31
Palito.inc,130338,65,2609,491,2020-10-31
Piscu,130138,59,2352,170,2020-10-31
Surfer,129109,62,3984,207,2020-10-31
Pandita,127953,64,3124,512,2020-10-31
vanenav86,127433,66,3025,855,2020-10-31
Alvaro,126324,64,3767,705,2020-10-31
DesmondMiles,125076,66,3464,483,2020-10-31
ismaellc,124993,67,5020,742,2020-10-31
vittorio972,124198,67,3908,255,2020-10-31
LittleSabia,123788,66,3485,546,2020-10-31
xJeLLy,123305,66,3727,776,2020-10-31
Ebanreb,122544,66,3928,140,2020-10-31
Pahoehoe,116670,65,3016,613,2020-10-31
Hamilkar,116390,66,3503,737,2020-10-31
plate87,115648,66,2520,672,2020-10-31
lola,115369,63,3157,229,2020-10-31
SurferPaul,115024,62,2844,463,2020-10-31
superpapin,114823,63,3065,538,2020-10-31
MaxiBella,113721,66,3458,180,2020-10-31
Rojero,113649,61,2410,242,2020-10-31
LUISBTABTZ,112670,63,2988,189,2020-10-31
GhosTrident,112167,66,3999,426,2020-10-31
sandradisney,108901,60,1583,174,2020-10-31
Saisem,108058,66,4001,914,2020-10-31
ZaguracK,100807,64,1587,102,2020-10-31
Brajamaro,100463,62,2048,554,2020-10-31
DisneySpain20,97136,61,1074,510,2020-10-31
Llebea,96130,64,1855,166,2020-10-31
Robertiox,94377,59,1911,587,2020-10-31
sHiraN,91507,58,2774,598,2020-10-31
MALSEN,117976,66,3040,492,2020-10-31
GustavoCG,98149,64,4454,150,2020-10-31
Greekgeek,159876,68,4079,397,2020-10-31
Ikaedih,348336,69,3355,651,2020-11-07
Ronik,205920,66,3182,728,2020-11-07
r0ny,187643,68,3219,807,2020-11-07
Loitzune,176131,69,5234,945,2020-11-07
Txutxy,165790,68,4041,826,2020-11-07
Hiros,160572,68,4256,814,2020-11-07
alex87,157528,68,3247,656,2020-11-07
☆Gasphernus☆,156474,67,4008,670,2020-11-07
Bruxen,150016,67,4031,792,2020-11-07
Fredo,150011,66,4096,722,2020-11-07
MonitoStrike,149164,67,3125,332,2020-11-07
Berjilius,147302,67,3222,789,2020-11-07
Huco,140412,67,3385,781,2020-11-07
Aromaz,138485,65,2021,207,2020-11-07
Martibrum,137782,66,3213,772,2020-11-07
Amérendar,135421,67,4014,538,2020-11-07
Palito.inc,135202,66,2486,512,2020-11-07
Piscu,134973,60,2235,205,2020-11-07
Pandita,134962,65,3131,542,2020-11-07
Surfer,134914,63,3999,217,2020-11-07
vanenav86,133870,67,3010,864,2020-11-07
Tutti,133287,66,3252,779,2020-11-07
Ebanreb,131036,67,4125,175,2020-11-07
LittleSabia,130136,67,3153,550,2020-11-07
